香港,现存确诊,累计确诊,死亡,治愈
驻马店,0,139,0,139
商丘,0,91,0,88
周口,0,76,0,75
平顶山,0,58,0,57
新乡,0,57,0,54
安阳,0,53,0,53
许昌,0,39,0,38
漯河,0,36,0,36
焦作,0,32,0,31
洛阳,0,31,0,30
开封,0,26,0,26
鹤壁,0,19,0,19
濮阳,0,17,0,17
三门峡,0,7,0,6
济源,0,5,0,5
湖南省,现存确诊,累计确诊,死亡,治愈
境外输入,4,26,0,22
长沙,0,242,0,240
岳阳,0,156,0,155
邵阳,0,102,0,101
常德,0,82,0,82
株洲,0,80,0,80
娄底,0,76,0,76
益阳,0,60,0,60
衡阳,0,48,0,48
永州,0,44,0,44
怀化,0,40,0,40
郴州,0,39,0,39
湘潭,0,36,0,36
湘西自治州,0,8,0,8
张家界,0,5,0,5
湖北省,现存确诊,累计确诊,死亡,治愈
武汉,3,50360,0,46488
孝感,0,3518,0,3389
黄冈,0,2907,0,2782
荆州,0,1580,0,1528
鄂州,0,1394,0,1335
随州,0,1307,0,1262
襄阳,0,1175,0,1135
黄石,0,1015,0,976
宜昌,0,931,0,894
荆门,0,928,0,887
咸宁,0,836,0,821
十堰,0,672,0,664
仙桃,0,575,0,553
天门,0,496,0,481
恩施州,0,252,0,245
潜江,0,198,0,189
神农架林区,0,11,0,11
内蒙古自治区,现存确诊,累计确诊,死亡,治愈
境外输入人员,3,274,34,271
呼伦贝尔,0,37,0,37
鄂尔多斯,0,11,0,11
包头,0,11,0,11
赤峰,0,9,0,9
锡林郭勒盟,0,9,0,9
巴彦淖尔,0,8,0,7
呼和浩特,0,7,0,7
通辽,0,7,0,7
乌兰察布,0,3,0,3
乌海市,0,2,0,2
兴安盟,0,1,0,1
广西壮族自治区,现存确诊,累计确诊,死亡,治愈
境外输入,3,17,0,14
南宁,0,56,0,56
北海,0,44,0,43
桂林,0,32,0,32
河池,0,28,0,27
柳州,0,24,0,24
防城港,0,19,0,19
玉林,0,11,0,11
来宾,0,11,0,11
钦州,0,8,0,8
贵港,0,8,0,8
梧州,0,5,0,5
贺州,0,4,0,4
百色,0,3,0,3
辽宁省,现存确诊,累计确诊,死亡,治愈
境外输入,1,97,0,96
大连,0,161,0,161
沈阳,0,70,0,70
锦州,0,12,0,12
葫芦岛,0,12,0,11
丹东,0,11,0,11
盘锦,0,11,0,11
阜新,0,8,0,8
铁岭,0,8,0,8
朝阳,0,6,0,5
鞍山,0,4,0,4
本溪,0,3,0,3
辽阳,0,3,0,3
营口,0,1,0,1
抚顺,0,1,0,1
甘肃省,现存确诊,累计确诊,死亡,治愈
境外输入,1,101,0,100
兰州,0,36,0,34
天水,0,12,0,12
平凉,0,9,0,9
定西,0,9,0,9
甘南,0,8,0,8
白银,0,4,0,4
陇南,0,4,0,4
庆阳,0,3,0,3
临夏,0,3,0,3
张掖,0,2,0,2
金昌,0,1,0,1
省级（湖北输入）,0,1,0,1
澳门,现存确诊,累计确诊,死亡,治愈
澳门,1,49,9,48
黑龙江省,现存确诊,累计确诊,死亡,治愈
绥化,0,536,0,532
哈尔滨,0,410,8,406
境外输入,0,390,386,390
双鸭山,0,52,0,49
鸡西,0,46,0,46
齐齐哈尔,0,44,0,43
牡丹江,0,36,0,36
大庆,0,29,0,28
黑河,0,24,0,24
七台河,0,17,0,17
佳木斯,0,15,0,15
鹤岗,0,5,0,5
大兴安岭,0,3,0,3
待明确,0,2,0,2
伊春,0,1,0,1
河北省,现存确诊,累计确诊,死亡,治愈
保定,1,49,0,48
石家庄,0,898,0,897
邢台,0,94,0,93
唐山,0,58,0,57
沧州,0,49,0,46
张家口,0,43,0,43
境外输入,0,36,0,36
廊坊,0,33,0,33
邯郸,0,32,0,32
秦皇岛,0,10,0,9
衡水,0,8,0,8
承德,0,7,0,7
安徽省,现存确诊,累计确诊,死亡,治愈
合肥,0,174,0,173
蚌埠,0,160,0,155
阜阳,0,156,0,156
亳州,0,108,0,108
安庆,0,83,0,83
六安,0,69,0,69
宿州,0,41,0,41
马鞍山,0,38,0,38
芜湖,0,34,0,34
铜陵,0,29,0,29
淮北,0,27,0,27
淮南,0,27,0,27
池州,0,17,0,17
滁州,0,13,0,13
黄山,0,9,0,9
宣城,0,6,0,6
境外输入,0,3,0,3
新疆维吾尔自治区,现存确诊,累计确诊,死亡,治愈
乌鲁木齐,0,845,0,845
喀什地区,0,80,0,80
伊犁州,0,18,0,18
兵团第四师,0,10,0,9
